month_year,npi_num,first_name,last_name,specialty,state,territory_code,region,hcp_segment,is_target,channel_name,payer_group,strength_mg,trx,nrx,units,net_product_sales,conversion_rate,payer_reimb_rate
2024-06,000000000,Rachel,Dunn,Psychiatry,AL,AL01,South,C,0,Medicaid,Government,150,8,3,8,2532.05,0.375,0.692
2024-06,000000001,Margaret,Booth,Neurology,AL,AL01,South,A,1,Commercial,Commercial,100,15,6,15,4324.22,0.4,0.52
2024-06,000000002,James,Klein,Internal Medicine,AL,AL01,South,B,1,Medicare,Government,150,20,10,20,7822.56,0.5,0.849
2024-06,000000003,Timothy,Richmond,Internal Medicine,AL,AL01,South,C,0,Commercial,Commercial,200,4,1,4,1572.44,0.25,0.705
2024-06,000000004,Brittany,Thomas,Neurology,AL,AL01,South,A,1,Managed Medicaid,Government,150,28,13,56,15769.29,0.464,0.679
2024-06,000000005,Lauren,Lawrence,Psychiatry,AL,AL01,South,B,1,Managed Medicaid,Government,100,23,9,46,12686.08,0.391,0.571
2024-06,000000006,Gregory,Bates,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,200,18,9,18,4088.69,0.5,0.703
2024-06,000000007,Nancy,Williams,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,100,26,8,52,19801.6,0.308,0.579
2024-06,000000008,Hailey,Greene,Psychiatry,AL,AL01,South,B,1,Medicare,Government,100,20,9,40,19112.53,0.45,0.698
2024-06,000000009,Kristen,Jackson,Neurology,AL,AL01,South,B,1,Medicare,Government,150,20,7,40,16647.79,0.35,0.553
2024-06,000000010,Jill,Dunn,Neurology,AL,AL01,South,B,1,Medicaid,Government,150,16,8,16,5690.97,0.5,0.779
2024-06,000000011,Joseph,Ho,Psychiatry,AL,AL01,South,A,1,Medicare,Government,100,16,8,32,13512.87,0.5,0.721
2024-06,000000012,Todd,Sanchez,Psychiatry,AL,AL01,South,A,1,Medicaid,Government,100,32,12,32,7350.79,0.375,0.579
2024-06,000000013,Terry,Whitehead,Internal Medicine,AL,AL01,South,A,1,Medicare,Government,150,26,9,52,17545.74,0.346,0.797
2024-06,000000014,Joseph,Johnson,Psychiatry,AL,AL01,South,A,1,Medicare,Government,100,10,3,20,7097.02,0.3,0.758
2024-06,000000015,Randall,Mcbride,Internal Medicine,AL,AL01,South,A,1,Medicaid,Government,200,15,5,15,4613.58,0.333,0.644
2024-06,000000016,Martha,Smith,Internal Medicine,AL,AL01,South,A,1,Commercial,Commercial,100,14,5,14,5187.98,0.357,0.671
2024-06,000000017,Matthew,Wise,Neurology,AL,AL01,South,B,1,Medicare,Government,150,21,6,21,7807.02,0.286,0.634
2024-06,000000018,Elizabeth,Miller,Psychiatry,AL,AL01,South,B,1,Commercial,Commercial,150,18,7,18,6176.61,0.389,0.714
2024-06,000000019,Sandra,Hudson,Neurology,AL,AL01,South,B,1,Medicare,Government,150,29,13,29,6491.69,0.448,0.556
